OrderID,CustomerID,SupplierID,ShipperID,EmployeeID,ModeOfTransport,TransportStructure,ProductID,Price,Currency,NetTonnage,OrderDate,RequiredDATE,LoadingDate,ArrivalDate,LoadingAddress,LoadingCity,LoadingPostalCode,LoadingRegionID,LoadingCountryID,ShipAddress,ShipCity,ShipPostalCode,ShipRegionID,ShipCountryID
1,BIO,Palova,6,MARKOW,road,palette,BASO,3000,PLN,20,2017-11-29,2017-12-14,2017-12-13,2017-12-15,471 Serangon,Dětenice,507-23,H,CZ,Rajska 10,Dobieszowice,42-582,SL,PL
2,BIO,Plonsk,1,KATNOW,rail,iso-tank,REP1,2600,PLN,25,2017-12-01,2017-12-11,2017-12-07,2017-12-08,Warszawska 134,Płońsk,09-100,MZ,PL,Boya-Żeleńskiego 23,Brzoza,86-061,KP,PL
3,MIN,Plutzer,2,MARKOW,road,palette,REP2,3600,PLN,22,2017-12-05,2017-12-22,2017-12-20,2017-12-22,Tiergartenstrae 5,Berlin,10785,BE,DE,Hoffmanna 56,Kraków,30-023,MA,PL
4,BIO,Palova,3,KATNOW,rail,bulk,SANA,104000,PLN,1600,2017-12-15,2017-12-28,2017-12-27,2017-12-29,471 Serangon,Dětenice,507-23,H,CZ,Carl-Urlich Strasse 351,Frankfurt  am Main,60 306,HE,DE
5,MIN,Pruszcz,6,MARKOW,road,tilt,STAB,2500,PLN,24,2017-12-20,2018-01-03,2018-01-02,2018-01-03,Bydgoska 12,Pruszcz,80-008,PM,PL,Waleniowa 125,Gdynia,81-008,PM,PL
6,BIO,Palova,6,MARKOW,road,palette,BASO,1500,PLN,5,2017-12-28,2018-01-16,2018-01-10,2018-01-12,471 Serangon,Dětenice,507-23,H,CZ,Jana Kazimierza 97,Skierniewice,96-100,LD,PL
7,LAN,Pruszcz,5,PAWDOB,sea,container,BASO,164890,PLN,2856.03,2018-01-04,2018-01-15,2018-01-11,2018-01-15,ul. Zamknięta 18,Gdańsk,80-955 ,PM,PL,Am Sandtorkai 13,Hamburg,20359,HE,DE
8,MIN,Plonsk,6,MARKOW,road,iso-therm,REP1,8000,PLN,25,2018-01-05,2018-01-17,2018-01-15,2018-01-17,Warszawska 134,Płońsk,09-100,MZ,PL,Am Sandtorkai 13,Hamburg,20359,HE,DE
9,PES,Plonsk,4,PAWDOB,sea,tank,REP1,10342,PLN,48,2018-01-05,2018-01-22,2018-01-15,2018-01-22,ul. Zamknięta 18,Gdańsk,80-955 ,PM,PL,Route de Mardyck 15,Dunkirk,59240,32,FR
10,BIO,Plonsk,3,KATNOW,rail,tank,REP1,108000,PLN,1500,2018-01-10,2018-01-30,2018-01-29,2018-01-30,Warszawska 134,Płońsk,09-100,MZ,PL,Stodolní 840,Ostrava,720 00,T,CZ
